"notation","title","description","id","title_en","description_en"
"1","Anforderungsbereich I","","e7z",,
"1.1","Fachwissen","Wissen wiedergeben. Fakten und einfache physikalischeSachverhalte reproduzieren.","g4q",,
"1.2","Erkenntnisgewinnung","Fachmethoden beschreiben. Physikalische Arbeitsweisen, insb. experimentelle, nachvollziehen bzw. beschreiben.","u3y",,
"1.3","Kommunikation","Mit vorgegebenen Darstellungsformen arbeiten. Einfache Sachverhalte in Wort und Schrift oder einer anderen vorgegebenen Form unter Anleitung darstellen, sachbezogene Fragen stellen. ","a9e",,
"1.4","Bewertung","Vorgegebene Bewertungen nachvollziehen. Auswirkungen physikalischer Erkenntnisse benennen, einfache, auch technische Kontexte aus physikalischer Sicht erläutern.","x3r",,
"2","Anforderungsbereich II","","t5h",,
"2.1","Fachwissen","Wissen anwenden. Physikalisches Wissen in einfachen Kontexten anwenden, einfache Sachverhalte identifizieren und nutzen, Analogien benennen.","r2b",,
"2.2","Erkenntnisgewinnung","Fachmethoden nutzen. Strategien zur Lösung von Aufgaben nutzen, einfache Experimente planen und durchführen, Wissen nach Anleitung erschließen.","s2r",,
"2.3","Kommunikation","Geeignete Darstellungsformen nutzen. Sachverhalte fachsprachlich und strukturiert darstellen, auf Beiträge anderer sachgerecht eingehen, Aussagen sachlich begründen. ","f3v",,
"2.4","Bewertung","Vorgegebene Bewertungen beurteilen und kommentieren. Den Aspektcharakter physikalischer Betrachtungen aufzeigen, zwischen physikalischen und anderen Komponenten einer Bewertung unterscheiden.","s9z",,
"3","Anforderungsbereich III","","c3q",,
"3.1","Fachwissen","Wissen transferieren und verknüpfen. Wissen auf teilweise unbekannte Kontexte anwenden, geeignete Sachverhalte auswählen.","v5z",,
"3.2","Erkenntnisgewinnung","Fachmethoden problembezogen auswählen und anwenden. Unterschiedliche Fachmethoden, auch einfaches Experimentieren und Mathematisieren, kombiniert und zielgerichtet auswählen und einsetzen, Wissen selbstständig erwerben.","p9u",,
"3.3","Kommunikation","Darstellungsformen selbständig auswählen und nutzen. Darstellungsformen sach- und adressatengerecht auswählen, anwenden und reflektieren, auf angemessenem Niveau begrenzte Themen diskutieren.","d3b",,
"3.4","Bewertung","Eigene Bewertungen vornehmen. Die Bedeutung physikalischer Kenntnisse beurteilen, physikalische Erkenntnisse als Basis für die Bewertung eines Sachverhalts nutzen, Phänomene in einen physikalischen Kontext einordnen.","s6r",,
